external_urls,href,name,type,uri,id
https://open.spotify.com/artist/6UE7nl9mha6s8z0wFQFIZ2,https://api.spotify.com/v1/artists/6UE7nl9mha6s8z0wFQFIZ2,Robyn,artist,spotify:artist:6UE7nl9mha6s8z0wFQFIZ2,6UE7nl9mha6s8z0wFQFIZ2
https://open.spotify.com/artist/2kGBy2WHvF0VdZyqiVCkDT,https://api.spotify.com/v1/artists/2kGBy2WHvF0VdZyqiVCkDT,Father John Misty,artist,spotify:artist:2kGBy2WHvF0VdZyqiVCkDT,2kGBy2WHvF0VdZyqiVCkDT
https://open.spotify.com/artist/4kYSro6naA4h99UJvo89HB,https://api.spotify.com/v1/artists/4kYSro6naA4h99UJvo89HB,Cardi B,artist,spotify:artist:4kYSro6naA4h99UJvo89HB,4kYSro6naA4h99UJvo89HB
https://open.spotify.com/artist/5a2w2tgpLwv26BYJf2qYwu,https://api.spotify.com/v1/artists/5a2w2tgpLwv26BYJf2qYwu,SOPHIE,artist,spotify:artist:5a2w2tgpLwv26BYJf2qYwu,5a2w2tgpLwv26BYJf2qYwu
https://open.spotify.com/artist/1Xyo4u8uXC1ZmMpatF05PJ,https://api.spotify.com/v1/artists/1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,artist,spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ,1Xyo4u8uXC1ZmMpatF05PJ
https://open.spotify.com/artist/3kjuyTCjPG1WMFCiyc5IuB,https://api.spotify.com/v1/artists/3kjuyTCjPG1WMFCiyc5IuB,Arcade Fire,artist,spotify:artist:3kjuyTCjPG1WMFCiyc5IuB,3kjuyTCjPG1WMFCiyc5IuB
https://open.spotify.com/artist/7Eu1txygG6nJttLHbZdQOh,https://api.spotify.com/v1/artists/7Eu1txygG6nJttLHbZdQOh,Four Tet,artist,spotify:artist:7Eu1txygG6nJttLHbZdQOh,7Eu1txygG6nJttLHbZdQOh
https://open.spotify.com/artist/5gspAQIAH8nJUrMYgXjCJ2,https://api.spotify.com/v1/artists/5gspAQIAH8nJUrMYgXjCJ2,Kurt Vile,artist,spotify:artist:5gspAQIAH8nJUrMYgXjCJ2,5gspAQIAH8nJUrMYgXjCJ2
https://open.spotify.com/artist/5INjqkS1o8h1imAzPqGZBb,https://api.spotify.com/v1/artists/5INjqkS1o8h1imAzPqGZBb,Tame Impala,artist,spotify:artist:5INjqkS1o8h1imAzPqGZBb,5INjqkS1o8h1imAzPqGZBb
https://open.spotify.com/artist/2auiVi8sUZo17dLy1HwrTU,https://api.spotify.com/v1/artists/2auiVi8sUZo17dLy1HwrTU,Solange,artist,spotify:artist:2auiVi8sUZo17dLy1HwrTU,2auiVi8sUZo17dLy1HwrTU
